preprocess,embedding,oversampling,model,run,accuracy,precision,recall,f1,TP,FP,TN,FN,param
all,tfidf,False,SVC,5,0.7166,0.3275,0.7089,0.448,56,115,293,23,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,gpt,False,Naive_Bayes,5,0.6879,0.3128,0.7722,0.4453,61,134,274,18,{'var_smoothing': 1e-11}
none,llama,True,K_Nearest_Neighbors,5,0.6366,0.2941,0.8861,0.4416,70,168,240,9,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Random_Forest,5,0.8706,0.75,0.3038,0.4324,24,8,400,55,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,bert,True,Random_Forest,5,0.8131,0.425,0.4304,0.4277,34,46,362,45,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,Naive_Bayes,5,0.6099,0.2789,0.8861,0.4242,70,181,227,9,{'var_smoothing': 0.1}
none,gpt,True,Random_Forest,5,0.8768,0.88,0.2785,0.4231,22,3,405,57,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,False,Decision_Tree,5,0.6201,0.2792,0.8481,0.4201,67,173,235,12,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}"
none,llama,True,Decision_Tree,5,0.768,0.3482,0.4937,0.4084,39,73,335,40,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
all,tfidf,True,Logistic_Regression,5,0.7947,0.3793,0.4177,0.3976,33,54,354,46,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,True,K_Nearest_Neighbors,5,0.5893,0.2609,0.8354,0.3976,66,187,221,13,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,True,Naive_Bayes,5,0.6242,0.2679,0.7595,0.396,60,164,244,19,{'var_smoothing': 1e-11}
none,gpt,True,Naive_Bayes,5,0.6982,0.2927,0.6076,0.3951,48,116,292,31,{'var_smoothing': 0.01}
none,llama,False,Naive_Bayes,5,0.5852,0.255,0.8101,0.3879,64,187,221,15,{'var_smoothing': 1e-11}
none,tfidf,True,Random_Forest,5,0.8439,0.5333,0.3038,0.3871,24,21,387,55,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,gpt,False,K_Nearest_Neighbors,5,0.8296,0.4643,0.3291,0.3852,26,30,378,53,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Decision_Tree,5,0.6016,0.2553,0.7595,0.3822,60,175,233,19,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,bert,True,Naive_Bayes,5,0.577,0.249,0.7975,0.3795,63,190,218,16,{'var_smoothing': 0.1}
none,gpt,False,Decision_Tree,5,0.6016,0.2532,0.7468,0.3782,59,174,234,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,bert,True,Decision_Tree,5,0.7331,0.3023,0.4937,0.375,39,90,318,40,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Naive_Bayes,5,0.6263,0.2512,0.6582,0.3636,52,155,253,27,{'var_smoothing': 0.1}
none,bert,True,K_Nearest_Neighbors,5,0.6119,0.2477,0.6835,0.3636,54,164,244,25,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,False,K_Nearest_Neighbors,5,0.8029,0.3768,0.3291,0.3514,26,43,365,53,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
all,tfidf,False,Naive_Bayes,5,0.6571,0.2412,0.519,0.3293,41,129,279,38,{'var_smoothing': 0.001}
all,tfidf,True,K_Nearest_Neighbors,5,0.8501,0.6071,0.2152,0.3178,17,11,397,62,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,Decision_Tree,5,0.7372,0.2621,0.3418,0.2967,27,76,332,52,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,True,SVC,5,0.846,0.5769,0.1899,0.2857,15,11,397,64,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,bert,False,Random_Forest,5,0.8255,0.4211,0.2025,0.2735,16,22,386,63,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,tfidf,True,Naive_Bayes,5,0.6468,0.2038,0.4051,0.2712,32,125,283,47,{'var_smoothing': 0.0001}
all,tfidf,True,Naive_Bayes,5,0.5483,0.181,0.5063,0.2667,40,181,227,39,{'var_smoothing': 0.0001}
none,tfidf,False,K_Nearest_Neighbors,5,0.8173,0.375,0.1899,0.2521,15,25,383,64,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
none,tfidf,True,SVC,5,0.809,0.3333,0.1772,0.2314,14,28,380,65,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
none,gpt,False,Random_Forest,5,0.8542,0.9,0.1139,0.2023,9,1,407,70,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,True,K_Nearest_Neighbors,5,0.8357,0.4615,0.076,0.1304,6,7,401,73,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,K_Nearest_Neighbors,5,0.8173,0.2727,0.076,0.1188,6,16,392,73,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,SVC,6,0.8891,0.6582,0.6582,0.6582,52,27,381,27,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,False,SVC,6,0.8727,0.6393,0.4937,0.5571,39,22,386,40,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,True,SVC,6,0.8891,0.6812,0.5949,0.6351,47,22,386,32,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,False,Logistic_Regression,6,0.8501,0.5283,0.7089,0.6054,56,50,358,23,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,False,Logistic_Regression,6,0.8419,0.5088,0.7342,0.601,58,56,352,21,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,llama,True,Logistic_Regression,6,0.8583,0.5581,0.6076,0.5818,48,38,370,31,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Random_Forest,6,0.8439,0.5169,0.5823,0.5476,46,43,365,33,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,True,SVC,6,0.8789,0.7,0.443,0.5426,35,15,393,44,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,tfidf,False,Random_Forest,6,0.8522,0.5455,0.5317,0.5385,42,35,373,37,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,True,Random_Forest,6,0.8686,0.6364,0.443,0.5224,35,20,388,44,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,Decision_Tree,6,0.7823,0.4,0.6835,0.5047,54,81,327,25,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,False,K_Nearest_Neighbors,6,0.8706,0.6667,0.4051,0.5039,32,16,392,47,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
none,gpt,True,Logistic_Regression,6,0.8296,0.4773,0.5317,0.503,42,46,362,37,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,bert,False,Logistic_Regression,6,0.7639,0.3816,0.7342,0.5022,58,94,314,21,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,bert,True,Logistic_Regression,6,0.8029,0.4234,0.5949,0.4947,47,64,344,32,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,SVC,6,0.7577,0.3726,0.7215,0.4914,57,96,312,22,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,tfidf,False,Logistic_Regression,6,0.7639,0.3767,0.6962,0.4889,55,91,317,24,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,SVC,6,0.7331,0.3543,0.7848,0.4882,62,113,295,17,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,bert,True,SVC,6,0.7515,0.3636,0.7089,0.4807,56,98,310,23,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
all,tfidf,True,Decision_Tree,6,0.8193,0.4483,0.4937,0.4699,39,48,360,40,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Decision_Tree,6,0.7064,0.3298,0.7848,0.4644,62,126,282,17,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
all,tfidf,False,Decision_Tree,6,0.7988,0.4078,0.5317,0.4615,42,61,347,37,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,tfidf,True,Random_Forest,6,0.8645,0.6512,0.3544,0.459,28,15,393,51,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,False,Logistic_Regression,6,0.7392,0.3442,0.6709,0.4549,53,101,307,26,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,True,K_Nearest_Neighbors,6,0.6448,0.3025,0.9114,0.4543,72,166,242,7,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,Random_Forest,6,0.8604,0.6222,0.3544,0.4516,28,17,391,51,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,False,SVC,6,0.729,0.3312,0.6582,0.4407,52,105,303,27,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,tfidf,True,Decision_Tree,6,0.8111,0.4235,0.4557,0.439,36,49,359,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,True,Random_Forest,6,0.8173,0.4359,0.4304,0.4331,34,44,364,45,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,True,Decision_Tree,6,0.7823,0.3738,0.5063,0.4301,40,67,341,39,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,True,Logistic_Regression,6,0.8111,0.4198,0.4304,0.425,34,47,361,45,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}"
none,gpt,False,Naive_Bayes,6,0.6612,0.2913,0.7595,0.4211,60,146,262,19,{'var_smoothing': 1e-11}
none,llama,False,Random_Forest,6,0.8686,0.7419,0.2911,0.4182,23,8,400,56,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,llama,True,Naive_Bayes,6,0.6283,0.2723,0.7722,0.4026,61,163,245,18,{'var_smoothing': 1e-11}
none,bert,False,Naive_Bayes,6,0.6242,0.2699,0.7722,0.4,61,165,243,18,{'var_smoothing': 0.1}
none,bert,True,Naive_Bayes,6,0.577,0.2567,0.8481,0.3941,67,194,214,12,{'var_smoothing': 0.1}
none,bert,True,Decision_Tree,6,0.7372,0.313,0.519,0.3905,41,90,318,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,False,Decision_Tree,6,0.6674,0.2757,0.6456,0.3864,51,134,274,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}"
none,gpt,True,K_Nearest_Neighbors,6,0.5873,0.254,0.7975,0.3853,63,185,223,16,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Naive_Bayes,6,0.5873,0.252,0.7848,0.3815,62,184,224,17,{'var_smoothing': 1e-11}
none,tfidf,False,Naive_Bayes,6,0.5934,0.2511,0.7595,0.3774,60,179,229,19,{'var_smoothing': 0.1}
none,bert,True,K_Nearest_Neighbors,6,0.6119,0.2545,0.7215,0.3762,57,167,241,22,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,Decision_Tree,6,0.7598,0.3241,0.443,0.3743,35,73,335,44,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,llama,False,Decision_Tree,6,0.7988,0.3766,0.3671,0.3718,29,48,360,50,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,bert,False,Random_Forest,6,0.8439,0.5366,0.2785,0.3667,22,19,389,57,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,True,Logistic_Regression,6,0.7906,0.358,0.3671,0.3625,29,52,356,50,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,True,Naive_Bayes,6,0.6899,0.2692,0.5317,0.3575,42,114,294,37,{'var_smoothing': 0.01}
none,gpt,True,Random_Forest,6,0.8583,0.6923,0.2279,0.3429,18,8,400,61,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,SVC,6,0.8481,0.5758,0.2405,0.3393,19,14,394,60,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
all,tfidf,False,Naive_Bayes,6,0.6715,0.2515,0.519,0.3388,41,122,286,38,{'var_smoothing': 0.001}
none,gpt,False,K_Nearest_Neighbors,6,0.8152,0.3962,0.2658,0.3182,21,32,376,58,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
none,tfidf,False,K_Nearest_Neighbors,6,0.8008,0.35,0.2658,0.3022,21,39,369,58,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,tfidf,True,SVC,6,0.8193,0.4,0.2279,0.2903,18,27,381,61,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
all,tfidf,True,Naive_Bayes,6,0.5852,0.194,0.4937,0.2786,39,162,246,40,{'var_smoothing': 0.0001}
none,bert,False,K_Nearest_Neighbors,6,0.7885,0.2931,0.2152,0.2482,17,41,367,62,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,Naive_Bayes,6,0.6591,0.1871,0.3291,0.2385,26,113,295,53,{'var_smoothing': 0.0001}
none,gpt,False,Random_Forest,6,0.8501,0.875,0.0886,0.1609,7,1,407,72,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,True,K_Nearest_Neighbors,6,0.8398,0.5385,0.0886,0.1522,7,6,402,72,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,K_Nearest_Neighbors,6,0.8337,0.4,0.0506,0.0899,4,6,402,75,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,K_Nearest_Neighbors,6,0.8357,0.4,0.0253,0.0476,2,3,405,77,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,False,Random_Forest,7,0.8951,0.6849,0.641,0.6623,50,23,385,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,False,SVC,7,0.8786,0.6301,0.5897,0.6093,46,27,381,32,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,gpt,True,SVC,7,0.8889,0.6875,0.5641,0.6197,44,20,388,34,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,7,0.8477,0.5179,0.7436,0.6105,58,54,354,20,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
all,tfidf,False,Random_Forest,7,0.8683,0.5814,0.641,0.6098,50,36,372,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,False,SVC,7,0.8724,0.6026,0.6026,0.6026,47,31,377,31,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,llama,False,Logistic_Regression,7,0.858,0.5484,0.6539,0.5965,51,42,366,27,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}"
none,llama,True,SVC,7,0.8745,0.6232,0.5513,0.585,43,26,382,35,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,True,Logistic_Regression,7,0.8519,0.5341,0.6026,0.5663,47,41,367,31,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,True,Random_Forest,7,0.8827,0.6981,0.4744,0.5649,37,16,392,41,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,True,Logistic_Regression,7,0.8519,0.5357,0.5769,0.5556,45,39,369,33,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,SVC,7,0.7798,0.4065,0.8077,0.5408,63,92,316,15,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,tfidf,False,Logistic_Regression,7,0.786,0.4122,0.7821,0.5398,61,87,321,17,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,bert,True,Logistic_Regression,7,0.8189,0.4546,0.641,0.5319,50,60,348,28,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,bert,False,Logistic_Regression,7,0.784,0.4069,0.7564,0.5292,59,86,322,19,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,True,Decision_Tree,7,0.8457,0.5185,0.5385,0.5283,42,39,369,36,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,llama,True,Logistic_Regression,7,0.8457,0.519,0.5256,0.5223,41,38,370,37,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Logistic_Regression,7,0.7737,0.3947,0.7692,0.5217,60,92,316,18,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}"
none,gpt,False,Naive_Bayes,7,0.7428,0.3716,0.8718,0.5211,68,115,293,10,{'var_smoothing': 1e-11}
none,llama,True,Random_Forest,7,0.8745,0.6735,0.4231,0.5197,33,16,392,45,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,gpt,True,Random_Forest,7,0.8786,0.7209,0.3974,0.5124,31,12,396,47,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,SVC,7,0.7613,0.3766,0.7436,0.5,58,96,312,20,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,tfidf,True,Decision_Tree,7,0.8313,0.4762,0.5128,0.4938,40,44,364,38,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
all,tfidf,False,SVC,7,0.7469,0.3636,0.7692,0.4938,60,105,303,18,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,bert,False,SVC,7,0.7407,0.3588,0.7821,0.4919,61,109,299,17,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
all,tfidf,True,Logistic_Regression,7,0.8354,0.4868,0.4744,0.4805,37,39,369,41,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Decision_Tree,7,0.821,0.4494,0.5128,0.479,40,49,359,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,True,SVC,7,0.8745,0.7297,0.3462,0.4696,27,10,398,51,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,tfidf,False,Decision_Tree,7,0.8086,0.4227,0.5256,0.4686,41,56,352,37,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,tfidf,True,Random_Forest,7,0.856,0.5769,0.3846,0.4615,30,22,386,48,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,True,Decision_Tree,7,0.7942,0.3962,0.5385,0.4565,42,64,344,36,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,gpt,True,Naive_Bayes,7,0.749,0.3493,0.6539,0.4554,51,95,313,27,{'var_smoothing': 0.01}
none,llama,False,K_Nearest_Neighbors,7,0.8601,0.6087,0.359,0.4516,28,18,390,50,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
none,llama,True,K_Nearest_Neighbors,7,0.6502,0.3017,0.8974,0.4516,70,162,246,8,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,True,Random_Forest,7,0.8189,0.4375,0.4487,0.443,35,45,363,43,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,gpt,False,K_Nearest_Neighbors,7,0.8375,0.4921,0.3974,0.4397,31,32,376,47,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Random_Forest,7,0.8786,0.8519,0.2949,0.4381,23,4,404,55,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,gpt,True,K_Nearest_Neighbors,7,0.6091,0.2813,0.9231,0.4311,72,184,224,6,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,False,Naive_Bayes,7,0.6296,0.2839,0.859,0.4268,67,169,239,11,{'var_smoothing': 0.1}
all,tfidf,False,Naive_Bayes,7,0.7017,0.3064,0.6795,0.4223,53,120,288,25,{'var_smoothing': 0.001}
all,tfidf,True,SVC,7,0.8601,0.6389,0.2949,0.4035,23,13,395,55,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,Decision_Tree,7,0.6296,0.2682,0.7564,0.396,59,161,247,19,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,False,Decision_Tree,7,0.7963,0.3704,0.3846,0.3774,30,51,357,48,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,bert,False,Naive_Bayes,7,0.6255,0.257,0.7051,0.3767,55,159,249,23,{'var_smoothing': 0.01}
none,bert,True,Naive_Bayes,7,0.5803,0.2439,0.7692,0.3704,60,186,222,18,{'var_smoothing': 0.1}
none,llama,False,Naive_Bayes,7,0.607,0.2489,0.718,0.3696,56,169,239,22,{'var_smoothing': 1e-11}
none,bert,False,Decision_Tree,7,0.5514,0.2328,0.7821,0.3588,61,201,207,17,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,bert,True,K_Nearest_Neighbors,7,0.6029,0.2422,0.6923,0.3588,54,169,239,24,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,True,Naive_Bayes,7,0.6317,0.2488,0.641,0.3584,50,151,257,28,{'var_smoothing': 1e-11}
none,bert,True,Decision_Tree,7,0.7222,0.2824,0.4744,0.3541,37,94,314,41,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,tfidf,False,K_Nearest_Neighbors,7,0.8436,0.5263,0.2564,0.3448,20,18,390,58,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
none,gpt,True,Decision_Tree,7,0.7654,0.3125,0.3846,0.3448,30,66,342,48,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,bert,False,Random_Forest,7,0.8292,0.4419,0.2436,0.3141,19,24,384,59,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,bert,False,K_Nearest_Neighbors,7,0.7901,0.3235,0.2821,0.3014,22,46,362,56,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,tfidf,True,Naive_Bayes,7,0.6502,0.2161,0.4487,0.2917,35,127,281,43,{'var_smoothing': 0.0001}
all,tfidf,True,Naive_Bayes,7,0.5432,0.1636,0.4487,0.2397,35,179,229,43,{'var_smoothing': 0.0001}
none,gpt,False,Random_Forest,7,0.8539,0.8889,0.1026,0.1839,8,1,407,70,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,True,K_Nearest_Neighbors,7,0.8395,0.5,0.1026,0.1702,8,8,400,70,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,K_Nearest_Neighbors,7,0.8354,0.375,0.0385,0.0698,3,5,403,75,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,K_Nearest_Neighbors,7,0.8395,0.5,0.0256,0.0488,2,2,406,76,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,SVC,8,0.9095,0.7361,0.6795,0.7067,53,19,389,25,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,True,SVC,8,0.9177,0.8276,0.6154,0.7059,48,10,398,30,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,8,0.8765,0.579,0.8462,0.6875,66,48,360,12,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,llama,True,SVC,8,0.9074,0.7539,0.6282,0.6853,49,16,392,29,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,tfidf,False,Random_Forest,8,0.9033,0.7313,0.6282,0.6759,49,18,390,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,False,Logistic_Regression,8,0.891,0.6471,0.7051,0.6749,55,30,378,23,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,gpt,True,Logistic_Regression,8,0.8868,0.6456,0.6539,0.6497,51,28,380,27,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,False,Random_Forest,8,0.8848,0.6447,0.6282,0.6364,49,27,381,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,tfidf,True,Decision_Tree,8,0.8765,0.6154,0.6154,0.6154,48,30,378,30,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
